Printout for SDDS file one.twi

       s            betay          alphay          etay          etayp     
       m              m                             m                      
---------------------------------------------------------------------------
  4.966654e+01   1.076080e+01   5.098910e-01   0.000000e+00   0.000000e+00 
  4.999154e+01   1.044174e+01   4.718366e-01   0.000000e+00   0.000000e+00 
  5.014154e+01   1.043875e+01  -4.518032e-01   0.000000e+00   0.000000e+00 
  5.014154e+01   1.043875e+01  -4.518032e-01   0.000000e+00   0.000000e+00 
  5.014154e+01   1.043875e+01  -4.518032e-01   0.000000e+00   0.000000e+00 
  5.014154e+01   1.043875e+01  -4.518032e-01   0.000000e+00   0.000000e+00 
  5.046654e+01   1.074460e+01  -4.892925e-01   0.000000e+00   0.000000e+00 
  5.051605e+01   1.079334e+01  -4.950041e-01   0.000000e+00   0.000000e+00 
  5.356015e+01   1.482909e+01  -8.298005e-01   0.000000e+00   0.000000e+00 
  5.360967e+01   1.491154e+01  -8.354387e-01   0.000000e+00   0.000000e+00 
  5.372059e+01   1.509828e+01  -8.480690e-01   0.000000e+00   0.000000e+00 
  5.377010e+01   1.518254e+01  -8.537072e-01   0.000000e+00   0.000000e+00 
  5.681420e+01   2.138127e+01  -1.181309e+00   0.000000e+00   0.000000e+00 
  5.686372e+01   2.149853e+01  -1.186856e+00   0.000000e+00   0.000000e+00 
  5.686372e+01   2.149853e+01  -1.186856e+00   0.000000e+00   0.000000e+00 
  5.736372e+01   2.271339e+01  -1.242875e+00   0.000000e+00   0.000000e+00 
  5.741323e+01   2.283675e+01  -1.248422e+00   0.000000e+00   0.000000e+00 
  6.045733e+01   3.141003e+01  -1.566456e+00   0.000000e+00   0.000000e+00 
  6.050685e+01   3.156543e+01  -1.571900e+00   0.000000e+00   0.000000e+00 
  6.061777e+01   3.191549e+01  -1.584097e+00   0.000000e+00   0.000000e+00 
  6.066728e+01   3.207264e+01  -1.589541e+00   0.000000e+00   0.000000e+00 
  6.371138e+01   4.269397e+01  -1.898092e+00   0.000000e+00   0.000000e+00 
  6.376090e+01   4.288221e+01  -1.903430e+00   0.000000e+00   0.000000e+00 
  6.376090e+01   4.288221e+01  -1.903430e+00   0.000000e+00   0.000000e+00 
  6.408590e+01   4.413082e+01  -1.938468e+00   0.000000e+00   0.000000e+00 
  6.423590e+01   4.413510e+01   1.910058e+00   0.000000e+00   0.000000e+00 
  6.423590e+01   4.413510e+01   1.910058e+00   0.000000e+00   0.000000e+00 
  6.423590e+01   4.413510e+01   1.910058e+00   0.000000e+00   0.000000e+00 
  6.423590e+01   4.413510e+01   1.910058e+00   0.000000e+00   0.000000e+00 
  6.456090e+01   4.290469e+01   1.875829e+00   0.000000e+00   0.000000e+00 
