Printout for SDDS file one.sig

       s             enx            eny      
       m              m              m       
---------------------------------------------
  1.168348e+02   9.772123e-06   1.089702e-05 
  1.168843e+02   9.772123e-06   1.089702e-05 
  1.169952e+02   9.772123e-06   1.089702e-05 
  1.170447e+02   9.772123e-06   1.089702e-05 
  1.200888e+02   9.772142e-06   1.089699e-05 
  1.201383e+02   9.772142e-06   1.089699e-05 
  1.201383e+02   9.772142e-06   1.089699e-05 
  1.204633e+02   9.772142e-06   1.089699e-05 
  1.206133e+02   9.771954e-06   1.089090e-05 
  1.206133e+02   9.771954e-06   1.089090e-05 
  1.206133e+02   9.772011e-06   1.089090e-05 
  1.206133e+02   9.772011e-06   1.089087e-05 
  1.209383e+02   9.772011e-06   1.089087e-05 
  1.209879e+02   9.772011e-06   1.089087e-05 
  1.240320e+02   9.772029e-06   1.089085e-05 
  1.240815e+02   9.772029e-06   1.089085e-05 
  1.241924e+02   9.772029e-06   1.089085e-05 
  1.242419e+02   9.772029e-06   1.089085e-05 
  1.272860e+02   9.772050e-06   1.089085e-05 
  1.273355e+02   9.772050e-06   1.089085e-05 
  1.273355e+02   9.772050e-06   1.089085e-05 
  1.278355e+02   9.772050e-06   1.089085e-05 
  1.278850e+02   9.772050e-06   1.089085e-05 
  1.309291e+02   9.772074e-06   1.089084e-05 
  1.309786e+02   9.772074e-06   1.089084e-05 
  1.310896e+02   9.772074e-06   1.089084e-05 
  1.311391e+02   9.772074e-06   1.089084e-05 
  1.341832e+02   9.772099e-06   1.089084e-05 
  1.342327e+02   9.772099e-06   1.089084e-05 
  1.342327e+02   9.772099e-06   1.089084e-05 
  1.345577e+02   9.772099e-06   1.089084e-05 
  1.347077e+02   9.773051e-06   1.089279e-05 
  1.347077e+02   9.773051e-06   1.089279e-05 
  1.347077e+02   9.772713e-06   1.089279e-05 
  1.347077e+02   9.772713e-06   1.089279e-05 
  1.350327e+02   9.772713e-06   1.089279e-05 
  1.350822e+02   9.772713e-06   1.089279e-05 
  1.381263e+02   9.772724e-06   1.089278e-05 
  1.381758e+02   9.772724e-06   1.089278e-05 
  1.382867e+02   9.772724e-06   1.089278e-05 
  1.383363e+02   9.772724e-06   1.089278e-05 
  1.413804e+02   9.772727e-06   1.089278e-05 
  1.414299e+02   9.772727e-06   1.089278e-05 
  1.414299e+02   9.772727e-06   1.089278e-05 
  1.419299e+02   9.772727e-06   1.089278e-05 
  1.419794e+02   9.772727e-06   1.089278e-05 
  1.450235e+02   9.772724e-06   1.089278e-05 
  1.450730e+02   9.772724e-06   1.089278e-05 
  1.451839e+02   9.772724e-06   1.089278e-05 
  1.452334e+02   9.772724e-06   1.089278e-05 
