Printout for SDDS file one.cen

       s              Cx             Cy      
       m              m              m       
---------------------------------------------
  1.488021e+02   8.058782e-06   8.782811e-07 
  1.488021e+02   8.058782e-06   8.782811e-07 
  1.488021e+02   8.058782e-06   8.782811e-07 
  1.491271e+02   8.298287e-06   8.948733e-07 
  1.491766e+02   8.334777e-06   8.974012e-07 
  1.522207e+02   1.044153e-05   1.040769e-06 
  1.522702e+02   1.047777e-05   1.043333e-06 
  1.523811e+02   1.055895e-05   1.049078e-06 
  1.524306e+02   1.059519e-05   1.051642e-06 
  1.554747e+02   1.266130e-05   1.195047e-06 
  1.555242e+02   1.269733e-05   1.197632e-06 
  1.555242e+02   1.269733e-05   1.197632e-06 
  1.560242e+02   1.306113e-05   1.223737e-06 
  1.560738e+02   1.309716e-05   1.226322e-06 
  1.591179e+02   1.532250e-05   1.386629e-06 
  1.591674e+02   1.535887e-05   1.389257e-06 
  1.592783e+02   1.544035e-05   1.395144e-06 
  1.593278e+02   1.547672e-05   1.397772e-06 
  1.623719e+02   1.772455e-05   1.560324e-06 
  1.624214e+02   1.776131e-05   1.562982e-06 
  1.624214e+02   1.776131e-05   1.562982e-06 
  1.627464e+02   1.800258e-05   1.580429e-06 
  1.627464e+02   1.800258e-05   1.580429e-06 
  1.637464e+02   1.874497e-05   1.634113e-06 
  1.637464e+02   1.874497e-05   1.634113e-06 
  1.638964e+02   1.913460e-05   1.618003e-06 
  1.638964e+02   1.913460e-05   1.618003e-06 
  1.638964e+02   1.913460e-05   1.618003e-06 
  1.638964e+02   1.913460e-05   1.618003e-06 
  1.651464e+02   2.471641e-05   1.283061e-06 
  1.652964e+02   2.499422e-05   1.262936e-06 
  1.658464e+02   2.457011e-05   1.262334e-06 
  1.658464e+02   2.457011e-05   1.262334e-06 
  1.713464e+02   2.032899e-05   1.256319e-06 
  1.713464e+02   2.032899e-05   1.256319e-06 
  1.768464e+02   1.608787e-05   1.250303e-06 
  1.768464e+02   1.608787e-05   1.250303e-06 
  1.773464e+02   1.570232e-05   1.249757e-06 
  1.774964e+02   1.582312e-05   1.231039e-06 
  1.787964e+02   1.892482e-05   9.088430e-07 
  1.789464e+02   1.909375e-05   8.804693e-07 
  1.789464e+02   1.909375e-05   8.804693e-07 
  1.789464e+02   1.909375e-05   8.804693e-07 
  1.789464e+02   1.909375e-05   8.804693e-07 
  1.805214e+02   1.887756e-05   6.739945e-07 
  1.805214e+02   1.887756e-05   6.739945e-07 
  1.807214e+02   1.885011e-05   6.477755e-07 
  1.807214e+02   1.885011e-05   6.477755e-07 
  1.809214e+02   1.882266e-05   6.215564e-07 
  1.809214e+02   1.882266e-05   6.215564e-07 
  1.812214e+02   1.686287e-05   6.452103e-07 
  1.815214e+02   1.305251e-05   7.326198e-07 
  1.818214e+02   1.030500e-05   7.547712e-07 
  1.818214e+02   1.030500e-05   7.547712e-07 
  1.818214e+02   1.030500e-05   7.547712e-07 
  1.818214e+02   1.030500e-05   7.547712e-07 
  1.822714e+02   7.656364e-06   6.891728e-07 
  1.842714e+02  -6.148697e-06   3.812124e-07 
  1.863994e+02  -2.377039e-05   4.402773e-08 
  1.866994e+02  -2.625465e-05  -3.507704e-09 
  1.869994e+02  -2.454591e-05  -5.468638e-08 
  1.871994e+02  -2.066738e-05  -9.269446e-08 
  1.871994e+02  -2.066738e-05  -9.269446e-08 
  1.874664e+02  -1.548953e-05  -1.434353e-07 
  1.877664e+02  -1.142488e-05  -1.837253e-07 
  1.877664e+02  -1.142488e-05  -1.837253e-07 
  1.877664e+02  -1.142488e-05  -1.837253e-07 
  1.877664e+02  -1.142488e-05  -1.837253e-07 
  1.927164e+02   2.924956e-05  -5.507376e-07 
  1.947164e+02   4.338881e-05  -6.855157e-07 
  1.996664e+02   7.228128e-05  -9.782219e-07 
