Printout for SDDS file one.twi

       s            betay          alphay          etay          etayp     
       m              m                             m                      
---------------------------------------------------------------------------
  7.833026e+01   1.096248e+01  -5.209817e-01   2.782853e-04  -1.194072e-05 
  7.833026e+01   1.096248e+01  -5.209817e-01   2.782853e-04  -1.194072e-05 
  7.833026e+01   1.096248e+01  -5.209817e-01   2.782853e-04  -7.147754e-06 
  7.865526e+01   1.131337e+01  -5.586750e-01   2.759622e-04  -7.147754e-06 
  7.870477e+01   1.136898e+01  -5.644177e-01   2.756083e-04  -7.147754e-06 
  8.174887e+01   1.586694e+01  -9.128129e-01   2.461914e-04  -6.996785e-06 
  8.179839e+01   1.595762e+01  -9.185338e-01   2.458449e-04  -6.996785e-06 
  8.190931e+01   1.616281e+01  -9.313492e-01   2.450688e-04  -6.996785e-06 
  8.195882e+01   1.625532e+01  -9.370700e-01   2.447224e-04  -6.996785e-06 
  8.500292e+01   2.301413e+01  -1.282726e+00   2.170686e-04  -6.847319e-06 
  8.505244e+01   2.314144e+01  -1.288418e+00   2.167295e-04  -6.847319e-06 
  8.505244e+01   2.314144e+01  -1.288418e+00   2.167295e-04  -6.847319e-06 
  8.555244e+01   2.445860e+01  -1.345891e+00   2.133059e-04  -6.847319e-06 
  8.560195e+01   2.459216e+01  -1.351583e+00   2.129668e-04  -6.847319e-06 
  8.864605e+01   3.386351e+01  -1.693480e+00   1.869544e-04  -6.700131e-06 
  8.869557e+01   3.403149e+01  -1.699135e+00   1.866227e-04  -6.700131e-06 
  8.880649e+01   3.440983e+01  -1.711805e+00   1.858795e-04  -6.700131e-06 
  8.885600e+01   3.457963e+01  -1.717460e+00   1.855477e-04  -6.700131e-06 
  9.190010e+01   4.606640e+01  -2.055317e+00   1.609377e-04  -6.556729e-06 
  9.194962e+01   4.627022e+01  -2.060933e+00   1.606130e-04  -6.556729e-06 
  9.194962e+01   4.627022e+01  -2.060933e+00   1.606130e-04  -6.556729e-06 
  9.227462e+01   4.762180e+01  -2.097791e+00   1.584821e-04  -6.556729e-06 
  9.242462e+01   4.762814e+01   2.055765e+00   1.564027e-04  -2.113697e-05 
  9.242462e+01   4.762814e+01   2.055765e+00   1.564027e-04  -2.113697e-05 
  9.242462e+01   4.762814e+01   2.055765e+00   1.564027e-04  -2.113697e-05 
  9.242462e+01   4.762814e+01   2.055765e+00   1.564027e-04  -1.995230e-05 
  9.274962e+01   4.630348e+01   2.020104e+00   1.499182e-04  -1.995230e-05 
  9.279913e+01   4.610370e+01   2.014670e+00   1.489303e-04  -1.995230e-05 
  9.584323e+01   3.483172e+01   1.687363e+00   8.602487e-05  -1.950108e-05 
  9.589275e+01   3.466489e+01   1.681894e+00   8.505927e-05  -1.950108e-05 
  9.600367e+01   3.429314e+01   1.669643e+00   8.289621e-05  -1.950108e-05 
  9.605318e+01   3.412806e+01   1.664174e+00   8.193062e-05  -1.950108e-05 
  9.909728e+01   2.500456e+01   1.332317e+00   2.202424e-05  -1.906819e-05 
  9.914680e+01   2.487289e+01   1.326822e+00   2.108008e-05  -1.906819e-05 
  9.914680e+01   2.487289e+01   1.326822e+00   2.108008e-05  -1.906819e-05 
  9.939680e+01   2.421642e+01   1.299076e+00   1.631303e-05  -1.906819e-05 
  9.939680e+01   2.421642e+01   1.299076e+00   1.631303e-05  -1.906819e-05 
  9.964680e+01   2.357382e+01   1.271331e+00   1.154598e-05  -1.906819e-05 
  9.969631e+01   2.344819e+01   1.265835e+00   1.060182e-05  -1.906819e-05 
  1.027404e+02   1.676063e+01   9.306477e-01  -4.640841e-05  -1.865199e-05 
  1.027899e+02   1.666874e+01   9.251347e-01  -4.733196e-05  -1.865199e-05 
  1.029008e+02   1.646488e+01   9.127851e-01  -4.940084e-05  -1.865199e-05 
  1.029504e+02   1.637476e+01   9.072721e-01  -5.032439e-05  -1.865199e-05 
  1.059945e+02   1.187686e+01   5.700554e-01  -1.048434e-04  -1.825319e-05 
  1.060440e+02   1.182068e+01   5.645316e-01  -1.057472e-04  -1.825319e-05 
  1.060440e+02   1.182068e+01   5.645316e-01  -1.057472e-04  -1.825319e-05 
  1.063690e+02   1.146552e+01   5.282751e-01  -1.116795e-04  -1.825319e-05 
  1.065190e+02   1.145877e+01  -4.830833e-01  -1.147134e-04  -2.223546e-05 
  1.065190e+02   1.145877e+01  -4.830833e-01  -1.147134e-04  -2.223546e-05 
  1.065190e+02   1.145877e+01  -4.830833e-01  -1.147134e-04  -2.223546e-05 
  1.065190e+02   1.145877e+01  -4.830833e-01  -1.147134e-04  -2.825860e-05 
  1.068440e+02   1.178414e+01  -5.180648e-01  -1.238974e-04  -2.825860e-05 
  1.068935e+02   1.183571e+01  -5.233943e-01  -1.252966e-04  -2.825860e-05 
  1.099376e+02   1.601364e+01  -8.489087e-01  -2.070225e-04  -2.766485e-05 
  1.099871e+02   1.609797e+01  -8.542290e-01  -2.083923e-04  -2.766485e-05 
  1.100980e+02   1.628879e+01  -8.661473e-01  -2.114609e-04  -2.766485e-05 
  1.101475e+02   1.637483e+01  -8.714676e-01  -2.128307e-04  -2.766485e-05 
  1.131916e+02   2.266832e+01  -1.195740e+00  -2.912383e-04  -2.709583e-05 
  1.132412e+02   2.278700e+01  -1.201047e+00  -2.925800e-04  -2.709583e-05 
  1.132412e+02   2.278700e+01  -1.201047e+00  -2.925800e-04  -2.709583e-05 
  1.137412e+02   2.401485e+01  -1.254642e+00  -3.061279e-04  -2.709583e-05 
  1.137907e+02   2.413936e+01  -1.259949e+00  -3.074695e-04  -2.709583e-05 
  1.168348e+02   3.279282e+01  -1.582457e+00  -3.826128e-04  -2.654911e-05 
  1.168843e+02   3.294980e+01  -1.587748e+00  -3.839274e-04  -2.654911e-05 
  1.169952e+02   3.330334e+01  -1.599601e+00  -3.868722e-04  -2.654911e-05 
  1.170447e+02   3.346201e+01  -1.604892e+00  -3.881868e-04  -2.654911e-05 
  1.200888e+02   4.420967e+01  -1.925426e+00  -4.604966e-04  -2.602483e-05 
  1.201383e+02   4.440061e+01  -1.930698e+00  -4.617852e-04  -2.602483e-05 
  1.201383e+02   4.440061e+01  -1.930698e+00  -4.617852e-04  -2.602483e-05 
  1.204633e+02   4.566681e+01  -1.965303e+00  -4.702433e-04  -2.602483e-05 
  1.206133e+02   4.565904e+01   2.016871e+00  -4.712350e-04   1.281882e-05 
  1.206133e+02   4.565904e+01   2.016871e+00  -4.712350e-04   1.281882e-05 
